minutes_to_metro,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,distance_to_centre,type_secondary,price
7.0,5.0,228.0,117.4,25.5,6.0,12,4.8,1,296400000.0
8.0,5.0,180.0,77.0,35.0,16.0,24,3.06,1,158000000.0
7.0,5.0,180.0,93.1,21.5,7.0,9,3.43,1,185000000.0
8.0,5.0,504.9,257.4,48.4,5.0,5,3.43,1,400000000.0
11.0,5.0,161.5,20.0,20.0,9.0,10,21.07,1,38500000.0
5.0,5.0,170.0,88.1,20.7,4.0,5,1.42,1,125000000.0
6.0,5.0,200.0,15.0,23.2,3.0,6,1.65,1,155000000.0
8.0,5.0,204.7,124.0,22.0,10.0,13,3.93,1,194700000.0
3.0,5.0,217.0,173.0,20.0,5.0,7,3.21,1,63790000.0
9.0,5.0,232.5,119.7,25.9,11.0,13,11.06,1,71000000.0
5.0,5.0,180.8,25.0,21.6,9.0,19,7.14,1,74500000.0
12.0,6.0,250.8,128.9,27.4,34.0,44,3.46,1,200000000.0
9.0,6.0,422.34,160.0,55.0,7.0,7,2.32,1,120000000.0
9.0,6.0,305.0,250.0,25.0,2.0,5,4.8,1,350000000.0
9.0,6.0,315.0,160.0,20.0,2.0,6,4.8,1,340000000.0
8.0,6.0,305.0,156.3,31.9,2.0,5,4.8,1,350000000.0
7.0,6.0,192.7,99.6,22.6,6.0,8,0.94,1,400000000.0
11.0,6.0,260.0,175.0,50.0,35.0,38,10.03,1,125000000.0
6.0,6.0,233.0,20.0,25.9,3.0,22,8.35,1,89000000.0
11.0,6.0,283.0,145.2,30.1,11.0,14,3.43,1,700000000.0
7.0,6.0,315.0,157.0,36.0,5.0,6,1.65,1,220000000.0
6.0,6.0,298.93,20.0,31.4,4.0,12,3.93,1,750000000.0
7.0,6.0,357.2,182.7,36.2,4.0,4,2.8,1,350000000.0
5.0,6.0,207.0,150.0,20.0,2.0,5,1.65,1,99000000.0
8.0,6.0,243.0,45.0,26.7,9.0,21,8.81,1,117000000.0
11.0,6.0,182.25,107.0,25.0,6.0,17,3.46,1,125000000.0
7.0,6.0,385.0,123.0,24.0,1.0,3,8.35,1,200000000.0
5.0,6.0,245.0,150.0,39.0,16.0,17,8.82,1,215000000.0
9.0,6.0,208.9,170.0,30.0,16.0,16,4.8,1,270250000.0
10.0,6.0,300.0,172.0,36.0,6.0,9,1.98,1,320000000.0
12.0,6.0,229.7,20.0,25.6,4.0,15,11.06,1,52000000.0
7.0,6.0,200.0,30.0,23.2,20.0,22,11.08,1,148900000.0
